"","Date","price"
"137",2015-05-17,43.7383317256944
"138",2015-05-18,7.53062705555556
"139",2015-05-19,17.4615702673611
"140",2015-05-20,31.950331
"141",2015-05-21,6.11272758333333
"142",2015-05-22,8.23661987152778
"143",2015-05-23,2.13034908333333
"144",2015-05-24,11.9327111666667
"145",2015-05-25,24.146550125
"146",2015-05-26,40.8076497222222
"147",2015-05-27,29.0867521979167
"148",2015-05-28,25.9674330798611
"149",2015-05-29,30.1052136142857
"150",2015-05-30,24.1185158636364
"151",2015-05-31,13.9988283125
"152",2015-06-01,22.0152805590278
"153",2015-06-02,14.4766821631944
"154",2015-06-03,14.2606484722222
"155",2015-06-04,14.0561771319444
"156",2015-06-05,28.8278735333333
