Month,Day,Hour,solar1_output_MW,solar2_output_MW,solar3_output_MW
1,11,16,0.963478813,19.173202,16.707981
1,11,17,0,0,0
1,11,18,0,0,0
1,11,19,0,0,0
1,11,20,0,0,0
1,11,21,0,0,0
1,11,22,0,0,0
1,11,23,0,0,0
1,12,0,0,0,0
1,12,1,0,0,0
1,12,2,0,0,0
1,12,3,0,0,0
1,12,4,0,0,0
1,12,5,0,0,0
1,12,6,0,0,0
1,12,7,19.697034,0,9.812287
1,12,8,34.77678,27.520462,11.549253
1,12,9,39.519464,3.2664435,36.277896
1,12,10,39.980572,7.071125,37.815744
1,12,11,39.95796,15.109031,37.863436
1,12,12,39.7748,36.393848,37.771492
1,12,13,39.430428,36.018768,37.566616
1,12,14,37.742444,35.16436,36.656776
1,12,15,32.454784,31.467068,32.843728
1,12,16,15.643227,19.559052,19.99417
1,12,17,0,0,0
1,12,18,0,0,0
1,12,19,0,0,0
1,12,20,0,0,0
1,12,21,0,0,0
1,12,22,0,0,0
1,12,23,0,0,0
1,13,0,0,0,0
1,13,1,0,0,0
1,13,2,0,0,0
1,13,3,0,0,0
1,13,4,0,0,0
1,13,5,0,0,0
1,13,6,0,0,0
1,13,7,20.030934,0,9.198529
1,13,8,35.021464,27.183968,29.30436
1,13,9,37.952868,9.123522,35.478728
1,13,10,37.37882,7.195188,37.903424
1,13,11,37.386544,8.613574,38.765792
1,13,12,37.218576,7.2272755,38.729896
1,13,13,36.908428,7.480392,17.926864
1,13,14,36.995164,36.184508,6.11099
1,13,15,32.260524,31.96116,1.666773125
1,13,16,15.146257,18.68404,1.691487125
1,13,17,0,0,0
1,13,18,0,0,0
1,13,19,0,0,0
1,13,20,0,0,0
1,13,21,0,0,0
1,13,22,0,0,0
1,13,23,0,0,0
1,14,0,0,0,0
1,14,1,0,0,0
1,14,2,0,0,0
1,14,3,0,0,0
1,14,4,0,0,0
1,14,5,0,0,0
1,14,6,0,0,0
1,14,7,22.12705,0,11.2581
1,14,8,37.320432,0.196398875,32.560976
1,14,9,40.281204,4.2616545,19.13106
1,14,10,40.774016,8.08267,40.238712
1,14,11,40.022116,10.036345,40.461976
1,14,12,39.793116,15.13508,28.635288
1,14,13,38.616744,18.762476,25.797798
1,14,14,26.924458,23.504804,23.298548
1,14,15,12.006815,15.338395,22.509808
1,14,16,11.585414,4.187449,20.413014
1,14,17,0,0,0
1,14,18,0,0,0
1,14,19,0,0,0
1,14,20,0,0,0
1,14,21,0,0,0
1,14,22,0,0,0
1,14,23,0,0,0
1,15,0,0,0,0
1,15,1,0,0,0
1,15,2,0,0,0
1,15,3,0,0,0
1,15,4,0,0,0
1,15,5,0,0,0
1,15,6,0,0,0
1,15,7,13.498962,0,12.192132
1,15,8,22.34094,0.068931641,34.142148
1,15,9,30.899648,3.70589,41.059136
1,15,10,25.730942,6.468597,42.24182
1,15,11,27.201184,4.8260715,42.914916
1,15,12,24.899996,14.120701,42.848856
1,15,13,24.009764,14.759012,42.6422
1,15,14,36.179996,14.117745,41.895628
1,15,15,17.0896,1.991616875,38.103772
1,15,16,9.9027,2.027169375,23.77334
1,15,17,0,0,0
1,15,18,0,0,0
1,15,19,0,0,0
1,15,20,0,0,0
1,15,21,0,0,0
1,15,22,0,0,0
1,15,23,0,0,0
1,16,0,0,0,0
1,16,1,0,0,0
1,16,2,0,0,0
1,16,3,0,0,0
1,16,4,0,0,0
1,16,5,0,0,0
1,16,6,0,0,0
1,16,7,2.6710175,0,12.622521
1,16,8,12.274346,0.822055563,33.770676
1,16,9,22.106054,2.052196875,39.554096
1,16,10,27.03671,37.309216,40.640716
1,16,11,29.187368,36.936996,41.157884
1,16,12,39.452948,26.359952,36.079352
1,16,13,38.927348,6.7362655,22.784018
1,16,14,37.838792,0.299969656,11.682753
1,16,15,13.000224,0.151497625,18.29905
1,16,16,5.46549,0,20.63489
1,16,17,0,0,0
1,16,18,0,0,0
1,16,19,0,0,0
1,16,20,0,0,0
1,16,21,0,0,0
1,16,22,0,0,0
1,16,23,0,0,0
1,17,0,0,0,0
1,17,1,0,0,0
1,17,2,0,0,0
1,17,3,0,0,0
1,17,4,0,0,0
1,17,5,0,0,0
1,17,6,0,0,0
1,17,7,1.106028,0,0
1,17,8,7.604354,24.154552,9.131882
1,17,9,20.298334,0.638802688,18.939096
1,17,10,24.781308,0.419667063,28.027736
1,17,11,39.04304,1.169630125,29.912582
1,17,12,38.682512,2.76266725,28.916134
1,17,13,24.529712,5.8214675,29.77741
1,17,14,37.436808,6.537432,24.29931
1,17,15,32.494588,2.82794625,9.995306
1,17,16,16.451658,0,3.59242175
1,17,17,0,0,0
1,17,18,0,0,0
1,17,19,0,0,0
1,17,20,0,0,0
1,17,21,0,0,0
1,17,22,0,0,0
1,17,23,0,0,0
1,18,0,0,0,0
1,18,1,0,0,0
1,18,2,0,0,0
1,18,3,0,0,0
1,18,4,0,0,0
1,18,5,0,0,0
1,18,6,0,0,0
1,18,7,19.54041,0,10.00008
1,18,8,33.280972,0,2.0218245
1,18,9,38.20628,1.43349575,26.32484
1,18,10,39.580144,3.539576,27.459478
1,18,11,39.682308,18.578214,17.29897
1,18,12,28.209828,16.384834,31.885262
1,18,13,27.15691,4.483399,21.970372
1,18,14,28.755312,4.76827,13.13145
1,18,15,18.786334,0.188316391,19.346158
1,18,16,4.833378,1.469831875,2.1405825
1,18,17,0,0,0
1,18,18,0,0,0
1,18,19,0,0,0
1,18,20,0,0,0
1,18,21,0,0,0
1,18,22,0,0,0
1,18,23,0,0,0
1,19,0,0,0,0
1,19,1,0,0,0
1,19,2,0,0,0
1,19,3,0,0,0
1,19,4,0,0,0
1,19,5,0,0,0
1,19,6,0,0,0
1,19,7,18.955772,0,12.657455
1,19,8,33.27895,5.636697,33.944956
1,19,9,36.67998,0.6427285,40.518188
1,19,10,30.317482,6.4293315,32.104604
1,19,11,27.364012,3.946702,28.883642
1,19,12,25.864986,12.274739,30.582818
1,19,13,27.255126,4.1068815,32.82034
1,19,14,24.806896,0,40.646948
1,19,15,33.082198,1.140738875,36.523296
1,19,16,16.09778,0.188552422,23.756362
1,19,17,0,0,0
1,19,18,0,0,0
1,19,19,0,0,0
1,19,20,0,0,0
1,19,21,0,0,0
1,19,22,0,0,0
1,19,23,0,0,0
1,20,0,0,0,0
1,20,1,0,0,0
1,20,2,0,0,0
1,20,3,0,0,0
1,20,4,0,0,0
1,20,5,0,0,0
1,20,6,0,0,0
1,20,7,17.906236,0,13.1489
1,20,8,0.03498316,0.149443516,34.20716
1,20,9,2.75710525,2.62724625,39.995244
1,20,10,9.260105,1.222751375,41.239672
1,20,11,8.1390985,2.09734675,41.866388
1,20,12,24.105572,2.010346625,41.669424
1,20,13,19.079926,0.800493313,41.80208
1,20,14,0.367299656,5.377088,40.856152
1,20,15,34.679524,2.22840025,36.954852
1,20,16,15.35627,1.79889025,24.21988
1,20,17,0,0,0
1,20,18,0,0,0
1,20,19,0,0,0
1,20,20,0,0,0
1,20,21,0,0,0
1,20,22,0,0,0
1,20,23,0,0,0
1,21,0,0,0,0
1,21,1,0,0,0
1,21,2,0,0,0
1,21,3,0,0,0
1,21,4,0,0,0
1,21,5,0,0,0
1,21,6,0,0,0
1,21,7,21.220228,0,11.501379
1,21,8,37.34514,11.580241,32.742868
1,21,9,22.107254,6.07661,39.046152
1,21,10,42.023412,19.113686,41.134248
1,21,11,30.923586,25.69186,41.449132
1,21,12,42.460052,6.85399,41.51612
1,21,13,41.546468,8.034394,41.388564
1,21,14,40.46954,0.346271781,40.000276
1,21,15,36.248684,11.5563,36.02942
1,21,16,18.847924,1.67474025,1.878382875
1,21,17,0,0,0
1,21,18,0,0,0
1,21,19,0,0,0
1,21,20,0,0,0
1,21,21,0,0,0
1,21,22,0,0,0
1,21,23,0,0,0
1,22,0,0,0,0
1,22,1,0,0,0
1,22,2,0,0,0
1,22,3,0,0,0
1,22,4,0,0,0
1,22,5,0,0,0
1,22,6,0,0,0
1,22,7,22.085336,0,12.247484
1,22,8,36.333688,1.97309475,33.674408
1,22,9,39.111976,3.6912705,40.213964
1,22,10,28.38046,8.08206,41.679752
1,22,11,39.919652,3.194475,41.439696
1,22,12,40.441844,7.4163925,40.971452
1,22,13,40.196408,6.6881115,40.592464
1,22,14,38.381244,2.98557425,39.821264
1,22,15,33.933104,3.081461,36.276752
1,22,16,17.869714,0.730719125,24.9202
1,22,17,0,0,0
1,22,18,0,0,0
1,22,19,0,0,0
1,22,20,0,0,0
1,22,21,0,0,0
1,22,22,0,0,0
1,22,23,0,0,0
1,23,0,0,0,0
1,23,1,0,0,0
1,23,2,0,0,0
1,23,3,0,0,0
1,23,4,0,0,0
1,23,5,0,0,0
1,23,6,0,0,0
1,23,7,20.79648,0,0.617307375
